Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,Relative Strength Short Term,Short Term Percentile,10D_RS,10D_RS_Percentile,1M_RS,1M_RS_Percentile,3M_RS,3M_RS_Percentile,6M_RS,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,Volume,VolumeVsAvgVol30,MA10,PriceVsMA10Pct,MA21,PriceVsMA21Pct,MA50,PriceVsMA50Pct,ATR14Pct,LoDDistATR,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
2911,GPATU,Financial Services,Shell Companies,NASDAQ,89.67,49.99,95.54,59.8,90.37,45.97,90.72,45.77,91.74,40.73,93.15,54.71,10.87,,,0.0,0.0,0,,10.87,0.0,10.87,0.0,10.87,0.0,,,0,0,0,
2912,TIMB,Communication Services,Telecom Services,NYSE,89.67,49.99,79.36,12.8,117.13,79.89,121.43,82.51,129.27,84.27,127.89,87.14,22.12,10471921951.328186,477733664.0,0.0207,-21.62,260400,0.59,23.03,-3.95,24.55,-9.9,25.46,-13.12,3.82,50.84,585870,442993,430492,0.065
2913,TACH,Financial Services,Shell Companies,NASDAQ,89.66,49.92,95.73,61.68,89.76,44.04,90.04,43.4,92.53,42.92,92.54,52.78,10.36,356723941.2184315,34432814.0,0.11,-0.19,0,0.0,10.35,0.1,10.34,0.19,10.32,0.39,0.06,0.01,6680,3890,5642,
2914,EVAC,Financial Services,Shell Companies,NYSE,89.66,49.92,95.81,62.49,89.52,43.35,89.75,42.53,92.31,42.39,91.64,50.26,10.17,593245736.4039116,58447858.0,0.02,-0.1,64700,0.45,10.15,0.2,10.14,0.3,10.11,0.59,0.16,121.74,84850,143166,98484,
2915,MXC,Energy,Oil & Gas E&P,NYSE ARCA,89.66,49.92,88.95,32.0,96.65,58.99,96.79,57.91,114.3,75.07,88.32,43.68,9.07,19017570.156097412,2046000.0,0.0034999999,-44.96,3600,0.3,9.33,-2.79,9.42,-3.72,9.98,-9.12,5.53,-0.8,10060,11983,22390,-0.268
2916,MACIU,Financial Services,Shell Companies,NASDAQ,89.66,49.92,95.84,62.69,89.17,42.39,90.42,44.76,93.28,45.06,95.07,60.33,10.86,,,0.0,-15.55,0,0.0,10.82,0.37,10.81,0.46,10.8,0.56,0.05,0.01,270,100,60,
2917,SYF,Financial Services,Credit Services,NYSE,89.66,49.92,90.24,35.7,96.38,58.56,104.62,69.47,95.02,48.84,103.65,73.42,69.39,24010106950.091537,336370242.0,0.08140001,-21.83,4305800,1.12,71.63,-3.13,73.84,-6.03,70.87,-2.09,2.42,7.76,3889580,3849620,3841804,0.061
2918,AXIN,Financial Services,Shell Companies,NASDAQ,89.66,49.92,95.57,60.05,89.86,44.35,89.98,43.16,92.28,42.24,91.9,50.85,10.2,278119998.199296,27266667.0,0.07,-0.1,0,0.0,10.2,0.0,10.19,0.1,10.16,0.39,0.09,0.0,60520,23486,20470,
2919,IQI,Financial Services,Asset Management,NYSE,89.65,49.86,92.93,46.06,93.01,52.67,95.1,55.17,99.62,57.41,98.15,66.28,9.55,511915171.09885406,52883797.0,0.0007,-8.35,208600,1.67,9.79,-2.45,9.77,-2.25,9.72,-1.75,1.14,-0.0,122050,124603,155730,0.009
2920,PFD,Financial Services,Asset Management,NYSE,89.64,49.85,93.91,50.82,91.14,48.35,93.08,50.9,98.42,55.33,97.25,64.86,11.39,145362425.06314754,12852557.0,0.83,-6.33,35300,1.87,11.46,-0.61,11.52,-1.13,11.36,0.26,0.8,43.75,25920,18880,19658,-0.009
2921,LWAC,Financial Services,Shell Companies,NASDAQ,89.63,49.82,95.61,60.39,89.78,44.12,90.24,44.02,91.54,40.16,91.82,50.65,10.2,306163509.1781616,30075000.0,0.0001,0.0,200,0.03,10.19,0.1,10.19,0.1,10.17,0.29,0.08,0.0,9280,7726,7070,
2922,APAC,Financial Services,Shell Companies,NASDAQ,89.63,49.82,95.66,60.98,89.69,43.82,89.68,42.31,91.95,41.24,90.92,48.36,10.1,81309214.77099037,8050417.0,0.004,-0.1,0,0.0,10.1,0.0,10.08,0.2,10.06,0.4,0.04,-0.01,1880,3286,2206,
2923,XTIA,Industrials,Aerospace & Defense,NASDAQ,89.61,49.78,81.04,15.04,103.19,68.34,118.87,81.13,86.49,33.81,55.01,10.83,1.67,68095800.34620094,38472204.0,0.1425,-77.52,1207400,0.84,1.78,-6.18,1.88,-11.17,2.12,-21.23,8.04,37.23,1580190,1436276,1798398,56.223
2924,PGACU,Financial Services,Shell Companies,NASDAQ,89.61,49.78,95.2,57.24,90.02,44.95,89.64,42.2,93.91,46.6,92.25,51.81,10.53,,,0.0,-1.13,0,0.0,10.53,0.0,10.53,0.0,10.53,0.0,,,0,4,7,
2925,AIIA,Financial Services,Shell Companies,NYSE,89.61,49.78,95.69,61.25,89.79,44.17,90.15,43.72,91.67,40.49,91.02,48.66,10.11,195214797.7924347,19290000.0,0.00059999997,-1.27,12700,1.07,10.11,0.0,10.1,0.1,10.08,0.3,0.24,0.0,19910,11820,8150,
2926,WIW,Financial Services,Asset Management,NYSE,89.6,49.73,94.51,53.89,91.16,48.42,91.83,48.09,94.73,48.22,95.26,60.92,8.44,519453292.14606285,61184135.0,0.38,-6.53,325600,1.4,8.52,-0.94,8.52,-0.94,8.46,-0.24,0.57,20.89,229940,233110,228138,0.243
2927,CXE,Financial Services,Asset Management,NYSE,89.6,49.73,93.36,47.99,92.57,51.54,94.68,54.37,98.3,55.13,94.5,58.86,3.64,117275876.4619596,31525773.0,0.19,-6.19,182700,2.36,3.72,-2.15,3.71,-1.89,3.71,-1.89,1.12,24.59,82520,77393,69176,0.014
